Feature,Importance
ema_20,0.03699598
bb_lower_20,0.036761712
volatility_20,0.03640242
parkinson_vol_20,0.036121417
macd_diff,0.035474446
bb_upper_20,0.03510186
obv,0.03484936
sma_20,0.034762926
bb_width_20,0.034428738
macd_signal,0.034410283
macd,0.033416122
sma_50,0.031138243
sma_10,0.030944958
volatility_50,0.028248666
price_sma_50,0.028071316
price_sma_5,0.028061925
atr_14,0.027129825
rsi_28,0.026527673
rsi_14,0.026515247
price_sma_20,0.024472523
ema_5,0.02437196
momentum_5,0.023830498
momentum_10,0.023383867
volatility_5,0.023253204
roc_10,0.02318701
return_5d,0.023117403
sma_5,0.021673715
stoch_k,0.020924607
stoch_d,0.019281466
return_1d,0.018722229
return_20d,0.018549558
bb_position_20,0.018212566
volume_sma_5,0.018205974
volume_sma_20,0.017522568
hl_spread,0.017361004
close_position,0.017188627
volume_change_5d,0.0160008
volume_change_1d,0.015377241
log_return_1d,0.0
roc_5,0.0
roc_20,0.0
